tone,b,b_chin,b_cheek,a,a_chin,a_cheek,l,L_chin,L_cheek,v,v_chin,v_cheek,s,s_chin,s_cheek,h,h_chin,h_cheek
0,17.39,31.76,19.9,10.73,18.83,13.79,81.64,63.88,76.96,92.16,79.61,89.41,27.23,51.23,32.46,22.5,24.23,21.08
0,11.43,5.42,6.23,12.15,9.99,10.6,50.76,73.49,72.91,58.04,79.61,79.61,31.08,15.76,17.24,14.35,5.63,6.86
0,8.66,10.65,12.41,9.85,11.91,13.3,83.03,79.22,75.57,90.98,88.63,85.88,17.67,21.68,25.11,13.17,13.47,14.18
0,17.81,10.23,12.46,-0.11,6.56,8.49,94.5,81.23,88.54,99.22,87.06,97.25,18.97,17.57,19.76,41.25,21.54,20.82
0,9.31,15.73,10.23,7.18,10.25,8.14,83.51,75.64,83.03,89.8,84.71,90.2,16.59,26.85,18.26,18.95,21.72,18.57
0,0.49,9.57,9.81,-0.18,6.07,6.79,81.66,77.1,78.36,79.61,81.96,83.92,0.49,17.22,17.76,60.0,21.67,20.53
0,11.65,12.05,9.93,15.45,15.16,16.81,72.01,74.54,71.57,83.14,85.88,83.14,26.42,26.03,25.47,10.71,11.58,6.67
0,2.79,14.49,4.76,12.05,16.38,14.19,84.84,67.06,86.13,92.94,78.82,96.47,13.92,31.34,16.26,354.55,13.33,358.5
0,12.64,6.67,6.51,10.36,4.72,4.33,65.89,86.83,88.87,73.33,90.98,92.94,26.2,11.64,10.97,18.37,20.0,20.77
0,17.11,17.84,10.93,5.73,5.0,8.65,82.64,85.37,85.68,89.8,92.55,93.73,24.02,23.73,18.83,29.45,31.07,18.67
0,2.28,5.51,3.72,7.79,11.78,10.12,85.98,79.79,85.13,90.98,87.84,92.16,9.48,16.07,12.34,357.27,3.33,0.0
0,9.09,11.81,10.18,6.75,9.33,10.97,86.63,82.63,84.42,92.94,90.98,93.73,15.61,20.69,19.67,19.46,18.75,14.04
0,6.14,10.19,7.05,8.91,9.2,9.63,73.99,77.47,69.72,79.61,84.71,75.69,15.76,19.91,18.13,9.38,16.74,10.29
0,7.77,14.84,15.54,6.29,9.55,12.52,89.7,77.29,74.34,95.69,85.88,84.71,13.52,25.11,28.24,18.18,21.82,18.69
0,8.21,12.41,11.48,8.82,9.27,9.87,51.85,80.09,82.02,56.47,88.24,90.59,23.61,21.78,20.78,14.12,19.59,17.5
0,9.06,13.45,13.94,5.16,7.67,9.11,86.27,81.19,82.99,91.37,88.63,91.76,14.59,21.68,22.65,22.94,23.27,21.51
0,11.8,5.78,6.75,11.57,9.45,10.44,51.03,73.74,72.89,58.04,79.61,79.61,31.08,15.76,17.73,15.65,7.5,8.33
0,17.81,10.23,12.46,-0.11,6.56,8.49,94.5,81.23,88.54,99.22,87.06,97.25,18.97,17.57,19.76,41.25,21.54,20.82
0,8.38,12.68,11.3,4.93,7.09,6.58,88.34,80.68,83.42,93.33,87.45,89.8,13.45,20.63,18.34,22.5,23.48,22.86
0,12.17,18.94,12.06,4.89,11.42,7.4,90.2,77.47,88.28,96.47,88.24,96.08,17.07,30.22,18.78,27.14,22.94,22.17
0,9.69,13.6,13.28,5.37,8.05,8.86,85.98,80.92,83.63,91.37,88.63,92.16,15.45,22.12,21.7,23.33,22.8,21.18
0,3.98,14.99,7.34,3.54,8.86,5.2,94.27,81.87,91.21,97.65,90.59,96.47,7.23,23.81,12.2,16.67,22.91,20.0
